MS_name,Thermal_name,Layers,Power,Velocity,Hatch,ScanLength,ScanWidth,DomainLength,DomainWidth,BaseHeight,XOffset,YOffset,LayerHeight,Rotation,TrainingData,ModelLayersMS,ModelLayersThermal,LargestEnsemble
L1P90V95,L1P90.0V95H50LH0X1500Y950O30R67,1,90,95,50,1500,950,360,260,21,30,30,0,0,TRUE,1,1,200
L1P90V105,L1P90V105,1,90,105,50,1500,950,350,250,21,30,30,0,0,TRUE,1,None,200
L1P100V90,L1P100V90,1,100,90,50,1500,950,350,250,21,30,30,0,0,TRUE,1,None,100
L1P100V100,L1P100V100,1,100,100,50,1500,950,350,250,21,30,30,0,0,TRUE,1,None,200
L1P100V100small,L1P100V100small,1,100,100,50,1500,950,340,245,21,30,30,0,0,TRUE,1,None,100
P95V95,L1P95.0V95H50LH0X1500Y950O30R0,1,95,95,50,1500,950,350,250,21,30,30,0,0,TRUE,1,1,185
L1P105V90,L1P105V90,1,105,90,50,1500,950,350,250,21,30,30,0,0,TRUE,1,None,195
L1P105V95,L1P105V95,1,105,95,50,1500,950,350,250,21,30,30,0,0,TRUE,1,None,225
L1P105V105,L1P105.0V105H50LH0X1500Y950O30R67,1,105,105,50,1500,950,350,250,21,30,30,0,0,TRUE,1,1,173
L1P124V109,L1P124V109,1,124,109,65,669,1430,204,346,34,30,30,0,0,TRUE,1,1,253
L4P124V109,L4P124V109,4,124,109,65,669,1430,234,346,34,30,30,20,67,TRUE,4,None,201
L3P75V120,L3P75V120,3,75,120,25,1007,1482,240,340,32,20,20,15,67,TRUE,3,None,201
L10P90V110,L10P90V110,10,90,110,50,1000,1000,260,260,30,30,30,25,67,TRUE,"1,2,3,4,5,10","1,2,3,4,5,10","200,200,197,193,193,189"
L30P250V75,L30P250V75H110LH40X1000Y1000O30,30,250,75,110,1000,1000,260,260,30,30,30,40,67,TRUE,"1,2,3,4,5,30","1,2,3,4,5,30","234,232,232,232,230,211"
L50P200V70XY500,L50P200V70H100LH40X500Y500O40,50,200,70,100,500,500,180,180,30,40,40,40,67,TRUE,50,50,173
L5P100V100,L5P100.0V100H50LH15X950Y1500O30,5,100,100,50,950,1500,250,350,21,30,30,15,67,FALSE,"1,2,3,4,5","1,2,3,4,5","200,200,199,199,199"
L15P100V100,L15P100.0V100H50LH15X500Y500O30,15,100,100,50,500,500,160,160,21,30,30,15,67,FALSE,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","217,206,206,206,206,206,206,206,206,206,206,206,206,206,206"
L1P95V975,L1P95V97H50LH0X950Y1500O30,1,95,97.5,50,950,1500,250,360,21,30,30,0,0,FALSE,1,1,197
L1P102V92,L1P102.5V92H50LH0X1500Y950O30,1,102.5,92.5,50,1500,950,360,250,21,30,30,0,0,FALSE,1,1,195
P130V110,L5P130.0V110H50LH20X500Y500O30,5,130,110,50,500,500,160,160,21,30,30,20,67,FALSE,"1,2,3,4,5","1,2,3,4,5","202,202,202,202,202"
P135V112,L5P135.0V112H50LH20X500Y500O30,5,135,112,50,500,500,160,160,21,30,30,20,67,FALSE,"1,2,3,4,5","1,2,3,4,5","200,200,200,200,200"
P140V115,L5P140.0V115H50LH20X500Y500O30,5,140,115,50,500,500,160,160,21,30,30,20,67,FALSE,"1,2,3,4,5","1,2,3,4,5","200,200,200,200,200"
P100V100H45,L1P100.0V100H45LH0X500Y500O30,1,100,100,45,500,500,160,160,21,30,30,0,0,FALSE,1,1,200
P100V100H40,L1P100.0V100H40LH0X500Y500O30,1,100,100,40,500,500,160,160,21,30,30,0,0,FALSE,1,1,200
L30P225V725,L30P225.0V72H105LH35X525Y525O45,30,225,72.5,105,525,525,195,195,25,45,45,35,67,FALSE,"1,2,3,4,5,30","1,2,3,4,5,30","269,269,268,268,262,220"
R45P90V110L10,L10P90.0V110H50LH25X1000Y1000O30R45,10,90,110,50,1000,1000,260,260,30,30,30,25,45,FALSE,"1,2,3,4,5,6,7,8,9,10","1,2,3,4,5,6,7,8,9,10","270,228,228,204,202,202,201,201,199,198"
L40P76V104R90LH25,L40P76.0V104H50LH25X650Y650O40R90,40,76,104,50,650,650,210,210,40,40,40,25,90,FALSE,"1,2,3,4,5,40","1,2,3,4,5,40","184,184,184,184,184,179"
L60P80.0V130H25LH25X650Y650O20R27,L60P80.0V130H25LH15X650Y650O45R67,60,80,130,25,650,650,220,220,26,45,45,15,67,FALSE,"1,2,3,4,5,6,7,8,9,10,60","1,2,3,4,5,6,7,8,9,10,60","200,200,200,200,200,200,200,200,200,200,198"
